name,strategy_type,dataset_mode,freq,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
BB_day_10min_60_2.0,BB,day,10min,-0.09595427455490313,0.06670516698920995,-1.438483387207837,-0.8260162525096914,7896
BB_day_10min_20_1.5,BB,day,10min,-0.1504760984019805,0.10389339224536759,-1.448370249058741,-0.9557948421856067,20784
BB_day_5min_100_3.0,BB,day,5min,-0.05747420330226871,0.039654386085133324,-1.449378214527854,-0.6428112573414895,4277
BB_all_15min_40_2.0,BB,all,15min,-0.07531876800016446,0.049844947176338285,-1.5110612462624649,-0.9576878269351754,16922
BB_all_5min_100_3.0,BB,all,5min,-0.053718267810413556,0.03403028667283034,-1.57854291169701,-0.8848155430872915,12123
BB_day_10min_20_2.0,BB,day,10min,-0.11920278623408442,0.0707747564802642,-1.6842556889238405,-0.8913966047622539,14324
BB_all_10min_60_2.0,BB,all,10min,-0.0903395325764188,0.05234078016466576,-1.7259875051959057,-0.9769994001310569,20668
BB_all_15min_20_2.0,BB,all,15min,-0.08744568617029347,0.049926991205248544,-1.7514711794028717,-0.9750129559286647,23723
BB_day_10min_40_2.0,BB,day,10min,-0.11452183571344132,0.06478840154984171,-1.7676286646050325,-0.8782530886516758,9361
BB_day_5min_100_2.5,BB,day,5min,-0.09236464779703069,0.05157938175479814,-1.7907280904629788,-0.8084926600417564,6816
BB_all_15min_20_1.5,BB,all,15min,-0.12169832686149307,0.06740300077783416,-1.805532772385324,-0.9946160122037268,34756
BB_all_5min_100_2.5,BB,all,5min,-0.08165818854937423,0.04227553822130381,-1.9315706430964945,-0.9652632943558541,20127
BB_all_10min_40_2.0,BB,all,10min,-0.10193868744400603,0.052087311344245435,-1.95707332195153,-0.9861646332324084,25093
BB_day_5min_40_2.0,BB,day,5min,-0.15157848054102785,0.07627548745769817,-1.9872502371760281,-0.9406395623654875,19301
BB_day_5min_60_2.0,BB,day,5min,-0.15023281523779008,0.07345523638883224,-2.0452294842880763,-0.939827805884754,15241
BB_all_10min_20_2.0,BB,all,10min,-0.12260868715464246,0.051527110818293476,-2.3794985825425545,-0.9945220302973209,34983
BB_all_5min_60_2.0,BB,all,5min,-0.1369232757569201,0.05537439940089204,-2.4726819114667338,-0.9971004291110497,41009
BB_all_10min_20_1.5,BB,all,10min,-0.16920058503970503,0.06804914333017505,-2.4864469522965527,-0.9994119199902036,52881
BB_day_5min_20_1.5,BB,day,5min,-0.2743833579260814,0.102164847620615,-2.6856924305803576,-0.9950819653737393,42864
BB_all_5min_40_2.0,BB,all,5min,-0.1534446990993824,0.05510275812113008,-2.7847008812530105,-0.9985955074828499,50598
BB_day_5min_20_2.0,BB,day,5min,-0.2022251501903486,0.06278179663461146,-3.22107937380789,-0.9760120406926193,28046
BB_all_5min_20_2.0,BB,all,5min,-0.1736879404585573,0.04574091152115043,-3.7972120511469174,-0.999387811772571,69303
BB_all_5min_20_1.5,BB,all,5min,-0.26254047614049725,0.06756519620103597,-3.885735421522712,-0.9999927374988554,108617
